SC_NAME,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
ZODIAC JRD  ,34.5,34.5,34.5,34.5,34.5,33.15,1,1,34,
KEYNOTE CORP,37.15,37.15,37.15,37.15,37.15,38,1,25,928,
ADANI ENTER ,118.25,120.95,117.8,119.95,119.95,118.35,2352,484693,57972216,
BHANDARI HOS,1.95,1.95,1.87,1.9,1.9,1.99,11,3046,5766,
SAVERA IND  ,63.9,63.9,60.5,62,62,64.5,8,952,60173,
VBC FERRO   ,39,39.2,39,39.2,39.2,37.4,3,200,7830,
TATA SPONGE ,672.05,684.35,672.05,676.65,681,670.45,330,5387,3653789,
NAV BHAR VEN,100.25,104.9,99.5,102.6,102.25,101.05,273,13597,1388708,
G.S.AUTO INT,7.64,7.64,7,7,7,7.21,2,27,205,
SHIV.BIMETAL,101,104,99.75,102.05,102.05,100,121,25417,2582959,
GANDHI SP.TU,345.2,350,342.1,350,350,351.9,11,348,121391,
ORICON ENT  ,24.05,24.75,24,24.5,24.5,23.95,32,4471,108753,
BALASORE    ,17.95,17.95,15.95,16.45,16.45,17.85,531,172284,2881301,
NAT STL AGRO,4.75,5.57,4.75,5.51,5.48,5.14,32,3113,16578,
UTTAM GALVA ,10.77,10.77,9.84,9.94,10,10.35,103,47814,485004,
PENNAR STEEL,30.6,31.9,30.6,31.45,31.35,30.65,88,128039,3994600,
JYOTI STRUCT,0.8,0.8,0.76,0.79,0.77,0.8,24,17390,13739,
JAY USHIN   ,372.7,372.7,372.4,372.4,372.4,392,5,34,12664,
ST.STR.WHEEL,864.8,867.75,843,858.25,860.25,866.35,225,1911,1634979,
MAN IND.(I) ,56.75,58.35,56.3,56.95,56.95,56.55,378,27273,1554315,
IMEC        ,2.2,2.2,2.2,2.2,2.2,2.2,2,210,462,
METALFORGE  ,8.25,8.25,8.25,8.25,8.25,7.87,21,9961,82178,
AJMERA      ,164.9,167,159,162.8,163,163.8,637,17085,2790727,
COCHIN MIN. ,196,204.85,192.2,195.9,195,196.55,26,1306,252016,
ISW LTD     ,1.08,1.16,1.07,1.14,1.14,1.08,42,59845,66419,
RAJKUMAR FRG,33.5,33.5,33.5,33.5,33.5,35,1,1,33,
CARBORUNDUM ,347.75,347.75,345,345.2,345.05,346.4,24,254,87843,
MINERAL&METL,25.45,26.15,25.45,25.8,25.8,25.55,547,139300,3592014,
ASHIANA ISP.,20.5,20.5,20.5,20.5,20.5,21.5,1,100,2050,
SMPL        ,0.35,0.35,0.35,0.35,0.35,0.36,5,23859,8350,
TATA METALIK,581.7,595,575.95,585.1,585.1,574.05,256,4214,2465789,
SHAH ALLOYS ,12.4,12.8,12.4,12.8,12.8,13.4,3,240,3032,
MONNETISPA  ,30.7,32.7,30.7,32.55,32.7,32.05,31,3335,107577,
KANISHK ST. ,8.24,8.24,7.94,8.24,8.24,8.34,4,948,7767,
SIMPLEX CAST,61.05,70,61,70,70,65,5,50,3140,
MEWAT ZINC  ,9.22,9.22,9.22,9.22,9.22,9.7,1,300,2766,
BARODA EXTR.,0.36,0.36,0.36,0.36,0.36,0.36,1,100,36,
GUJ.CONTAIN.,11.65,12.2,11.65,12.2,12.2,11.65,3,300,3550,
KALYANI FORG,251.2,265,251.2,260,260,258,6,100,25664,
PANCH.STEEL ,38.5,38.5,38.5,38.5,38.5,37.1,1,500,19250,
ADITYA ISPAT,6.45,6.45,6.45,6.45,6.45,6.45,1,100,645,
S.R.INDUS.  ,5.16,5.16,5.16,5.16,5.16,5.43,1,70,361,
STEELCAST   ,146.9,146.9,140,142,145,142.1,14,1330,188881,
PITTIENG    ,52.65,53.05,50.5,52.45,52.45,52.9,47,2289,118823,
PRADEEP MET.,69.45,72.9,69.45,72.9,72.9,70.05,7,345,24679,
VARDHMAN IND,2.19,2.19,2.19,2.19,2.19,2.23,3,458,1003,
GNRL        ,13.6,13.6,12.32,13.6,13.6,12.96,3,211,2613,
MAHA STEEL  ,132.95,136.5,128.8,131.4,131.4,128.7,201,7475,991599,
NOVA IRON&ST,4,4.31,4,4.1,4.1,4.11,7,402,1697,
HIND.COPPER ,44.5,45.35,44.35,44.55,44.55,44.25,408,61288,2742363,
SRIPIPES    ,169.1,173.95,168.15,170.95,168.15,169.05,66,1369,233148,
AXEL POLYMER,15.15,15.15,14.4,14.4,14.4,15.15,4,530,7798,
NLCINDIA    ,62.3,67,62.25,65.55,65.55,62.1,321,22491,1459854,
SPECTRA IND.,7.23,7.23,7.19,7.19,7.19,7.24,4,3180,22968,
JMT AUTO LTD,2.59,2.62,2.55,2.6,2.6,2.5,21,17248,44682,
KIC METALIKS,95.7,97.15,92.6,96.75,96.95,93.05,8,161,15472,
SHILP GRAVUR,86.05,89,80.3,84.6,84.55,86,37,3232,273708,
WHITEORG    ,25.5,27.3,25,26.15,26.15,25.5,296,56657,1479321,
ARO GRANITE ,43.5,43.5,43.5,43.5,43.5,44,2,169,7351,
RAJKAMAL SYN,12.93,12.93,12.93,12.93,12.93,13.61,1,100,1293,
DEEPAK SPINN,97,97,95,96,96,96.5,12,5503,529287,
JBF IND.LTD ,17.4,18.25,17.4,18.25,18.25,17.4,63,12656,222013,
LOY.TEX MILL,390,400,390,400,400,386,2,13,5100,
HIMAT.SEIDE ,166,167.2,164.55,165.8,165.8,166,112,4008,665961,
BSL LTD.    ,43.3,43.4,43.3,43.4,43.4,43.7,6,507,21953,
PBM POLYTEX ,79.1,81.85,77.05,81.45,81.8,78.95,31,2117,169881,
SURYALATA SP,130,130,126.25,126.25,126.25,130,3,1275,163125,
TT LTD.     ,50.9,50.9,49.5,49.65,49.5,50.85,6,1008,50612,
WELSPUN (I) ,47.4,48.55,46.6,48.05,48.4,47.4,237,28601,1362850,
IND.ACRYLICS,7.98,7.98,7.3,7.61,7.49,7.45,56,7932,59751,
GANESH ECOSP,241.1,245.1,241.1,245,245,248.9,6,362,87481,
VARDHMAN POL,8.11,9.13,8.11,8.71,8.95,8.91,20,1626,14092,
BLA ROS IND ,40,42.75,40,41,41,41,22,2311,95860,
SUMEET INDUS,3.6,3.6,3.54,3.55,3.55,3.67,11,5244,18800,
BINNY LTD.  ,106.4,117.8,106.4,110.5,110.5,113.5,6,180,20033,
RAMGOPAL POL,2.11,2.11,2.11,2.11,2.11,2.2,1,100,211,
SANGAM INDIA,54.2,56.95,54.15,54.35,54.35,53.9,12,653,35501,
ZENITH FIBRE,56,57.8,55.5,57.8,57.8,57.8,7,11,615,
BHILWARA SP.,7.95,7.95,7.95,7.95,7.95,7.58,1,158,1256,
AARVEE DENIM,20.15,21,20.1,21,21,20.2,6,230,4638,
SANRHEA TECH,17.15,17.15,17.1,17.1,17.1,18,2,210,3595,
ASHIMA LTD. ,12.64,13.1,12.63,12.99,13.1,12.5,14,4448,57590,
PIONEER EMB ,20.9,21.25,18.1,19.7,19.55,20.25,56,2668,53040,
VIPPY SPIN. ,39.05,41,39.05,40.05,40,40.2,6,316,12611,
RAGHUVIR SYN,217,217,215,215,215,207.15,8,200,43200,
JATTAINDUS  ,13.3,14.7,13.3,13.3,13.3,14,3,700,10010,
KAMADGIRI   ,84.9,84.9,84.9,84.9,84.9,85,1,1,84,
PATSPIN INDI,9.7,10.6,9.7,10.49,10.49,10.65,13,718,7382,
OVERSEAS SYN,4.43,4.43,4.43,4.43,4.43,4.52,32,200000,886000,
AJIL        ,121.25,121.25,121.25,121.25,121.25,127.6,19,1472,178480,
SHARAD FIBRE,11,11,11,11,11,10.7,1,100,1100,
MANORG      ,369.7,369.7,364,369.7,369.7,352.1,147,12438,4592839,
HINDU.ADHESI,75,75,75,75,75,67,1,1,75,
SRI KPR IND ,16.05,16.1,16.05,16.1,16.1,16.85,5,94,1509,
JYOTI RESINS,90,93.8,90,90,90,92.4,13,630,57840,
MAHA.RUBTECH,36.55,42.75,36.55,42.75,42.75,41.5,7,122,5157,
WIMSOME TEXT,25.65,25.65,25.65,25.65,25.65,24.45,3,580,14877,
FAIRDEAL FIL,84.25,89.55,82,82.3,86,86.1,32,758,65173,
ASAHI IN.GLA,251.25,252.8,250.05,251.5,251.9,250.2,26,608,152180,
MURD.CERAM  ,20,20.8,19.5,20.3,20.3,19.8,62,10679,216570,
SAINT-GOBAIN,48.35,48.95,47.25,47.6,47.6,48.2,283,47932,2292839,
ANANTRAJ    ,30.1,31.25,29.4,29.95,30.4,30,496,101620,3068798,
RESTILE CER.,3.52,3.8,3.51,3.61,3.6,3.75,22,3822,13516,
MADHAV MARB.,39,39,39,39,39,39.7,2,160,6240,
HIND.NAT.GLS,90.3,95.1,88.8,95.1,95.1,90.6,5,121,10823,
HALDYN GLASS,28.55,31,28.55,30.25,30.25,29.95,88,9566,287403,
DUROPLY     ,74.5,78.8,71.2,74.35,71.35,79.75,22,651,48434,
MANGALAM TIM,17.25,17.7,16.5,17.05,16.65,17.75,28,1788,30772,
SHREYANS IND,122.1,125.2,119.45,123.3,123.3,121.4,26,793,97704,
STAR PAPER  ,102.9,104.6,99.6,102.05,101.1,102.2,79,3341,341486,
YASH PAPERS ,43.1,43.9,42.6,42.75,43,43.1,83,33810,1460205,
NAT.PLYWOOD ,31.35,34.35,31.35,34.35,34.3,33,4,502,15743,
ARROWGREEN  ,75.5,77,75.5,77,77,75.05,3,132,10119,
VISHNU CHEM ,135,136,130,133.45,133.45,132.55,79,1097,145171,
JUMBO BAG   ,14.55,14.55,14.55,14.55,14.55,15.3,2,300,4365,
N.R.AGARWAL ,276.95,278.5,267.4,268.85,270,276.95,65,2546,691364,
3PLAND      ,9.25,9.25,9.25,9.25,9.25,10.01,2,10005,92546,
SANGAL PAPER,152.65,152.65,152.65,152.65,152.65,160.65,9,90,13738,
SH.KARTHIK P,11.9,11.9,9.1,10.2,10.2,10.75,70,12529,124430,
S.I.PAPER   ,82.7,82.8,76.95,81,81,81,14,12172,982987,
VINDHYA TELE,1351.35,1395,1351.35,1372.45,1376.9,1366.45,72,508,695617,
RUTTONSHA IN,35.55,39.8,34,39.8,39.8,36.5,26,1032,37515,
ADORWELDING ,297.3,313,297.3,306.2,300,291.35,163,1739,533163,
SALZER ELEC ,109.1,112.45,109.1,112.3,112.45,107.7,13,759,83617,
JETINFOTRAN ,37.95,37.95,34.55,35.3,35.35,36,8,30,1074,
HIGHGROUND  ,6.37,6.45,6.17,6.33,6.33,6.38,44,4409,27717,
PCS TECH    ,9.5,9.79,8.56,8.65,8.65,9,13,4007,35961,
USHA MART.LT,28.9,34,28.65,32.85,32.85,28.8,767,178613,5780779,
SPEL SEMICON,7.26,7.99,7.26,7.68,7.67,8.14,16,4240,32628,
SUBROS LTD. ,239.05,241.9,230,235.6,235.15,239.2,94,19999,4758763,
HONEYWELL   ,21499.45,21499.45,21305.05,21395.35,21393.95,21482.65,15,15,320890,
SWITCH.TECH.,50,50,50,50,50,52,2,150,7500,
LUMAX IND   ,1569.25,1597.4,1564.45,1592.95,1597.4,1564,18,84,132268,
SPICEMOBI   ,8.07,8.07,8.07,8.07,8.07,8.32,1,50,403,
CALCOM VISIO,32.75,33,29.45,30.2,30.1,32.7,72,5933,182903,
DYNAVISION  ,54.8,54.8,52.2,54.8,54.8,54.9,8,1161,61267,
PRECISION EL,23,23.5,22.5,22.5,22.5,22.95,17,1900,43002,
HBL P SYS   ,22.7,23.75,22.65,22.9,22.9,22.7,88,11678,267546,
GUJARATPOLY ,25.75,26,24.3,25.8,25.8,24.8,16,1434,36815,
GUJ.IND.POW.,69.3,70.8,69.3,70.45,70.8,68.65,32,3516,247263,
CMI LTD.    ,124,124.15,120.65,123.4,123.5,120.45,16,621,76099,
MOTHERSON SS,132,136.3,131.95,134.6,134.6,131.3,1863,272966,36741564,
MINDTECK (I),36.4,36.4,32.05,33.45,33.45,33.25,18,514,17077,
HAVELLSINDIA,678,697.9,674.75,694.1,694.1,677.1,1293,55441,38126651,
INCAP LTD.  ,39.9,39.9,38.15,38.15,38.15,38,2,342,13056,
GUJ.INTRUX  ,79.95,79.95,73.15,73.15,73.15,73.15,12,2011,158941,
IGARSHI MOT ,403,403.75,390.05,399.4,399.4,400.8,38,324,129163,
SYMPHONY    ,1166,1182.5,1156.65,1170.75,1164.15,1173.05,99,533,624324,
LEE&NEE SOFT,1.04,1.09,1.04,1.09,1.09,1.09,30,47856,51720,
PATEL AIRTEM,98,98.6,98,98.5,98.5,98,12,710,69886,
BFLYGANDHI  ,183.9,190,178,186.4,188.5,180.35,473,4832,889087,
ATHENAGLO   ,32,34.2,31.25,33.8,34.2,32.85,6,1710,57347,
R.S.SOFTWARE,27.1,28,27.05,27.25,27.35,26.7,25,4471,122520,
MAGNA ELECTR,183.9,183.9,172.8,173,173,172.9,6,369,63823,
LINAKS MICRO,0.69,0.69,0.69,0.69,0.69,0.69,2,200,138,
MARSONS     ,0.98,0.98,0.94,0.95,0.98,0.94,5,3301,3174,
ELNET TECH. ,88.55,88.55,88,88,88,88.55,8,940,82885,
APTL        ,0.64,0.64,0.64,0.64,0.64,0.67,2,288,184,
ACCEL       ,7.6,7.83,7.44,7.7,7.75,7.83,45,28413,214280,
WEBELSOLAR  ,26.25,29.4,26.25,28.95,28.95,26.75,254,19948,561251,
ROTO PUMPS  ,90.2,91.9,90.2,90.7,90.6,90.2,50,14431,1312750,
TTK PRESTIGE,7850,7961.25,7850,7896.05,7896.05,7814.65,341,695,5493839,
DHINDIA     ,16,17.6,15.6,15.85,15.85,16,16,1914,30578,
LEEL        ,18.3,19.1,18.3,18.95,18.95,18.2,177,18257,342092,
RAJ GLO WIR ,599,599,575,579.55,575.05,576.65,17,134,79112,
SURANATP    ,4.3,4.3,4.3,4.3,4.3,4.25,1,466,2003,
ONWARD TECHN,59.6,61.55,59.35,60.45,60.45,59.95,38,2473,148870,
CENTUM ELEC ,381.1,394.4,381.1,391.95,391.95,382.2,8,15,5838,
STARLITE COM,19.7,19.7,19.2,19.4,19.5,19.85,42,11495,222563,
NHCFOODS    ,4.67,4.67,4.67,4.67,4.67,4.45,4,1325,6187,
PVP VENT LTD,3.32,3.55,3.31,3.5,3.5,3.53,9,4892,16537,
TRIGYN TECH ,66.55,66.7,65.6,66.3,65.75,65.2,71,3391,224791,
KEI INDUST. ,308.45,327,308.45,321.8,322.7,309.2,962,14664,4706611,
IMPPOWERS   ,31.65,33.65,31.6,33.05,33.65,32.65,16,1752,56039,
KEERTHI     ,46,46,45.25,45.25,45.25,47.6,14,744,33673,
GUJ.SIDH.CEM,19.2,20.9,19.2,20.05,20.05,20.3,39,6092,123069,
ANJANI PORTL,101.75,102,101.75,102,102,96,3,75,7648,
MODINATURAL ,65,65,64.6,64.6,64.6,68,2,60,3896,
SHAH FOOD(P),55.65,55.65,55.65,55.65,55.65,58.55,1,1,55,
TASTY BITE  ,7680.5,7720,7606,7649.1,7606,7658.2,30,44,336441,
RITESH INTER,7.14,7.14,7.14,7.14,7.14,6.8,8,3860,27560,
AVT NATURAL ,22.35,23.05,22.2,22.35,22.2,22.5,47,5443,122737,
HIND.FOODS  ,322.05,339.95,322.05,330,330,333.75,22,1251,411241,
NAHAR INDUST,37.15,38.9,37.1,37.1,37.1,38.15,4,3022,114908,
VADILAL ENT ,836,920,836,919.85,850,880,23,3322,3034681,
VADILAL IND ,477.6,488.9,475.2,475.6,477,474.1,155,2298,1101566,
ADF FOODS LT,215,224.35,213.5,220.5,224.35,209.5,109,2260,489523,
AJANTA SOYA ,18,18.45,17.25,18.3,18.3,18.05,10,828,14873,
WILLIAM.MAGO,48,48,46.1,47.3,47.8,47.65,13,840,39870,
JVL AGRO    ,3.75,3.75,3.66,3.69,3.7,3.85,16,10969,40696,
SANWARIA    ,8.89,8.94,8.4,8.55,8.55,8.64,413,231061,2008097,
PRIMA AGRO L,11.78,11.78,11.78,11.78,11.78,12.4,1,25,294,
MODERN DAIRI,4.85,4.85,4.72,4.72,4.72,4.62,71,15606,74582,
BAMBINO AGRO,178,187,178,185,185,179.15,17,1317,242430,
VIKAS WSP   ,10.22,10.35,10.05,10.25,10.25,10.28,201,273459,2791411,
POONA DAL   ,28.5,28.5,28,28.45,28.45,28,7,110,3088,
ANIK INDS   ,17,17,16.15,16.3,16.3,17,11,1050,17160,
KSE LIMITED ,1304.5,1304.5,1304.5,1304.5,1304.5,1373.15,77,1227,1600621,
NARBADA     ,46.2,46.2,41.8,44,41.8,44,5,200,9235,
VIRAT CRANE ,23.45,25.95,23.3,25.4,25.4,23.45,11,287,7304,
CHORDIA FOOD,169.85,169.85,169.85,169.85,169.85,161.9,1,5,849,
TAI INDUST. ,10.07,10.08,10.07,10.08,10.08,10.6,2,300,3023,
OCEAN AGRO  ,18.75,18.75,17.3,18.3,18.75,17.9,9,1653,30202,
N K INDUST. ,40,40,40,40,40,39.85,1,11,440,
NCC BLUE WAT,9.4,9.4,9.4,9.4,9.4,9.22,3,1500,14100,
ASIAN TEA   ,8.54,8.54,8.54,8.54,8.54,8.54,1,93,794,
HERITGFOOD  ,443.45,443.45,436.85,440.05,440.1,442.5,48,355,156205,
NEHA INTER. ,3.4,3.47,3.15,3.2,3.35,3.31,26,17027,56958,
SIMRAN FARMS,61.5,62.5,60.4,62.3,62.3,60.95,13,658,40539,
DFM FOODS   ,188,189,182,184.9,182,186.1,50,11378,2103790,
CCL PRODUCTS,261.15,263.7,258.9,263.5,263.55,264.05,81,2703,708566,
KELLTONTEC  ,39.75,39.75,37.55,38.9,39.15,38.55,27,6079,234270,
MAHAAN FOODS,19.68,19.68,19.68,19.68,19.68,18.75,5,500,9840,
RICO AUTO   ,56.1,58.45,56.1,57.9,58.35,56.05,125,12193,697078,
OMAX AUTOS. ,78.25,78.25,77,77,77,78.35,4,301,23490,
MUNJAL SHOWA,149.75,151.3,148.25,150,151.3,147,31,939,140779,
JAMNA AUTO  ,50.9,51.4,50,51.05,51.05,50.15,599,56467,2877632,
SUNDAR.CLAY ,2385,2438.65,2285,2300,2300,2339.6,54,144,338896,
JTEKTINDIA  ,87.9,88.6,87.3,88.4,87.8,87.95,42,5508,485031,
MUNAUTO     ,50.5,51.25,50.1,50.4,50.4,50.15,193,10652,540229,
JAYBH.MARUTI,217.3,235,217.3,229.45,227.5,219.65,116,2285,519587,
RACLGEAR    ,62.45,62.45,59.6,59.6,59.6,60,30,2256,136130,
SAMKRG PIST.,157,160,153,154.35,154.35,157.5,92,4844,759273,
SICAL LOG   ,117,130.9,117,128.6,127,120.9,200,3689,462415,
RATNAMNI MET,851.5,859.85,851.5,855.35,851.5,860.75,11,100,85305,
VESUVIUS IND,1114.25,1143.5,1114,1142.05,1140,1130,20,109,122417,
ABC INDIA   ,50,55.7,50,52.85,52.85,49.6,9,632,32067,
BALURGHAT TE,4.03,4.03,4,4.03,4.03,3.84,4,4700,18938,
SIBAR AUTO  ,33.8,33.8,33.3,33.4,33.5,32.2,3,3,100,
STARLOG     ,16.95,16.95,15.35,15.35,16.95,16.15,6,678,10415,
INDO COUNT  ,32.05,37.35,31,37.1,37.1,31.9,599,84169,2974520,
MARAL OVERS ,24.25,25.3,24.2,25.3,25.3,24.45,5,277,6734,
TRIDENT     ,59.7,61.6,59.7,61.25,61.25,59.3,535,92861,5632896,
HISAR SPIN. ,19.2,19.2,19.2,19.2,19.2,18.3,1,300,5760,
ALOK INDS.  ,3.57,3.57,3.39,3.45,3.44,3.4,125,114663,395658,
PASARI SPIN ,4.4,4.4,4.4,4.4,4.4,4.2,1,50,220,
SPENTEX INDS,1.24,1.24,1.24,1.24,1.24,1.3,2,300,372,
AMARJOTHI SP,82,83.5,80.2,82.5,83.5,81.25,40,8560,700182,
SUDITI IND. ,29.85,29.85,29.4,29.4,29.4,29.5,3,76,2255,
KHATOR FIBRE,8.75,8.75,8.75,8.75,8.75,9.2,1,100,875,
ADITYA SPIN.,4.6,4.89,4.55,4.55,4.55,4.66,11,11415,51973,
PRIME URBAN ,12,12,11.2,11.2,11.2,11.78,8,2552,28583,
ZODIAC CLOTH,141.6,146.65,141.15,144.15,146.65,145.85,23,133,19007,
GANGOTRI TEX,1.84,1.84,1.84,1.84,1.84,1.88,1,100,184,
SUPER SPIN. ,5.9,5.9,5.9,5.9,5.9,6.2,1,3,17,
SIL INVEST  ,156.25,164.9,156,164.9,164.9,167.05,11,119,19111,
SURYLAK.COTT,30.1,31.5,28.05,28.05,28.05,27.9,7,155,4385,
SAMTEX FASH.,1.65,1.69,1.57,1.59,1.57,1.65,21,18070,28679,
DAMOINDUS   ,37.5,37.5,37.5,37.5,37.5,36,1,100,3750,
UNI ROYAL IN,9.8,10,9.8,10,10,9.7,5,254,2529,
SRI NACHAMAI,16.16,16.16,16.16,16.16,16.16,16.16,1,5,80,
KDL         ,18.05,18.05,18.05,18.05,18.05,18.95,1,1,18,
SAMBANDAM SP,85,85,85,85,85,84.5,1,25,2125,
KITEX GARMEN,90,90.65,88.5,89.4,89,91.25,74,3874,347652,
BATLIBOI LTD,12.5,12.5,12,12.45,12.45,12.5,10,680,8300,
UNITED DRILL,122.95,122.95,112,113.3,116.9,112.1,20,1088,127840,
FLUIDOMAT   ,115.95,120.9,113.1,119,119,115.95,27,1137,134561,
EMA INDIA   ,18.7,18.7,18.7,18.7,18.7,17.85,1,100,1870,
WINDSOR MACH,61.05,64,61,62.05,62,62.35,323,98549,6184380,
SHANTHI GEAR,111.15,113.85,111.15,113.35,113.85,111.1,37,1492,167900,
MIVEN MACHIN,11.49,11.49,11.49,11.49,11.49,12.09,1,25,287,
HONDA SIEL  ,1050,1059.65,1033.05,1053.15,1045.2,1052.25,57,149,155912,
HITECHGEAR  ,284.2,287,279,282.8,283,281.1,40,297,83860,
ELGI EQUIP  ,245.2,246.2,241.85,243.8,243.05,243.1,24,640,155217,
KILBURN ENGG,44,44,42,43.7,43.7,45,22,2397,102916,
BIRLA PRETEC,13.95,14.55,13.95,14.4,14.4,14.45,106,19533,279317,
YUKEN INDIA ,598.5,599.8,590,596.35,596.35,597.1,126,10199,6089033,
TIMKEN (I)  ,524,530.95,517,522.85,522.85,518.1,45,173,90606,
VOITH PAPER ,758.05,788.7,758.05,786,785,772.45,12,2114,1639153,
ARTSON ENG  ,35.5,35.5,30,33.95,33.95,31.25,61,7851,249622,
SOLITAIR MC ,33,36.75,33,36.1,36.05,37.65,7,408,14508,
DIAMONPOWER ,0.97,1,0.97,1,1,0.96,4,24694,24688,
INDSIL HYD  ,56,60,56,58,58,55.45,18,3410,198987,
ITL INDUSTRS,155,155,153.5,155,155,153.55,18,2127,329309,
FRONTIER SPR,164,180,164,177.05,180,173.25,106,6836,1194326,
PRAJ IND.LTD,141.3,143.6,139.4,140,140,139.8,3883,342570,48257439,
YOGI SUNGWON,1.62,1.62,1.62,1.62,1.62,1.55,4,1400,2268,
SWISS GLASS ,162.9,162.9,152.55,157.15,157.15,155.35,48,3357,526127,
GUJ APOIND  ,152,153,144.1,147,148,149,32,1041,156063,
TANEJA AERO.,29,29,27.95,28.45,28.85,28.65,32,2959,83408,
CONART ENG. ,23.25,25,23.25,24,24,24.1,5,500,12173,
M.M.FORGINGS,501,513.7,500,510.5,510,500.5,46,391,198309,
MAYUR UNIQ. ,342.4,345,342,342.85,342.4,341.3,25,539,184692,
CENLUB INDUS,69.9,69.9,63.9,67.9,67.9,65.9,78,8625,577286,
RAJOO ENGIN.,29.65,31.4,29.05,31,31,29.65,303,112460,3439996,
DOLPHIN OFF.,45,46.65,43.1,44.75,44.75,41.4,1022,74478,3362945,
JMC PROJECTS,90.05,94.75,90.05,94.55,94,90.05,104,6067,562355,
VEEJAY LAKSH,43,43,43,43,43,41,2,300,12900,
GET&D       ,276.5,280.75,271,274.2,271.05,277.8,77,1542,427372,
RAM RAT.WIRE,85.75,91.4,85.75,88.2,88.2,84.8,30,4418,382683,
JAY NECO IND,3.4,3.4,3.12,3.2,3.16,3.25,35,39616,131498,
KALPA.POWER ,332.3,339,330,335.75,335.75,331.6,185,2407,801805,
CHANDNI TE  ,41.75,41.75,38.75,39.8,39.8,39.8,3,20,795,
T & I GLOBAL,75.45,86,75.3,80.65,86,77.4,43,3477,278409,
CONTROL PRNT,267.05,271.25,259.65,261.35,268.85,269.25,18,124,32761,
ANSAL BUILD.,49.95,49.95,41.65,42.15,41.65,44.7,50,3779,159605,
WEIZMANN LTD,39.4,40.35,38.2,40.35,40.35,38.55,8,805,31651,
B.N.RATHI SE,22.6,22.6,22.6,22.6,22.6,22.4,3,20,452,
RISHITECH   ,45.3,45.35,44.4,44.55,45,41.45,23,9986,452251,
SINCLAIR HOT,325,330,316.15,318.15,323.95,325.9,61,3583,1143112,
SAFARI IND. ,713,715,695.95,696.95,696.95,698.85,170,2162,1517224,
BIN.TEX.PR(P,650,650,650,650,650,620,1,1,650,
COSMO FERR. ,16.5,16.5,16.5,16.5,16.5,15.75,2,104,1716,
EIH ASSO.HOT,316.1,333.7,316.1,326.5,330.95,320.9,14,1041,338097,
MEDI CAPS   ,13.5,13.78,12.17,12.65,13.78,13.21,27,720,8866,
MORGAN CRU  ,1350,1375,1322,1332.6,1325.25,1360,29,290,388608,
ABAN OFFSHO ,53,54.8,52.4,52.85,52.85,51.35,868,92590,4950803,
KOKUYOCMLN  ,83.85,87.45,83.85,87.4,87.4,83.9,34,1409,121948,
BHARAT SEATS,74,84.9,73.8,81.1,80.5,73.95,230,19526,1496333,
CONT.PETRO  ,32.3,32.3,32.3,32.3,32.3,34,17,28240,912152,
MACHINO PLAS,128.2,128.2,114,118.25,118.25,118,8,212,24840,
PEARL POLYME,12.38,12.6,10.78,12.6,12.6,12.38,5,39,482,
VENKEY'S (I),2118.95,2127,2083,2091.3,2091.3,2102.85,656,4520,9511988,
ADVANI HOTEL,61,65,61,65,65,61,10,334,20666,
G.V.FILMS   ,0.49,0.49,0.45,0.45,0.48,0.47,45,84354,38662,
SUPER HOUSE ,113.05,113.05,111.95,112,112.05,113.05,8,531,59489,
RAMA VISION ,6,6,6,6,6,6.3,1,200,1200,
TCPL PACK   ,351,358.95,348,354.2,350.05,350.65,16,400,142198,
BALMER LAWRI,166.35,169.85,165,168.7,169.85,165.5,110,3497,583886,
KOVAI MEDI. ,725,725,709,714.4,709,720,12,297,213584,
ELDECO HOUS.,1541,1570,1540,1540.1,1540.1,1590,6,125,192756,
DCMSHRIRAM  ,351.4,364,348.2,361.5,363,349.85,578,7611,2716345,
DCM SHR.IND ,166.6,173,166.6,169.8,169.8,166.5,68,4214,716946,
MAWANA SUGAR,41,42.25,40.35,40.5,40.35,41.55,71,7130,292026,
MAH.RAS.APEX,102,112.35,101.65,108,108,107,63,9225,967759,
NILKAMAL L  ,1245.5,1261.75,1239,1255.65,1254,1245.5,163,1392,1740668,
NAHAR POLY  ,34,37.6,34,37.3,36.9,33.65,29,2864,103983,
3M INDIA LTD,21600,22026.2,21600,21967.05,21903,21877.9,112,154,3380693,
JCHAC       ,1730,1730,1695,1728,1728,1719,17,35,59943,
JM FINANCIAL,73.55,76.4,73.55,75.6,75.6,74.3,439,29391,2199605,
ADCINDIA    ,209.9,210,203.75,209.2,209.45,210.1,12,235,48614,
REL INDL INF,268.2,270.4,265.05,268.2,268.2,267.7,333,9937,2657268,
LINDEINDIA  ,440,443.75,430.05,437.35,437.35,432.95,445,9216,4032123,
IND.BANK HSG,26.85,27.3,26.4,27.05,27.15,29.5,12,1650,44747,
JAIMATA GLAS,0.38,0.38,0.38,0.38,0.38,0.37,8,4518,1716,
LOTUS CHOC  ,23.75,23.75,21.05,23.35,23.35,22.75,11,808,17170,
PACIFIC IND.,115.05,115.05,114.55,114.8,114.55,118.75,2,40,4592,
CMM HOSPITAL,10.92,10.92,10.92,10.92,10.92,11.49,8,1750,19110,
APM INDUS.  ,40.5,40.5,36.25,37.85,36.7,38.1,58,5950,226398,
